precio dorm aseos m2 cent punt
260000 2 1 144 0 2
225000 3 2 158 0 1
275000 1 0.75 109 0 2
280000 2 1 85 0 1
340895 2 1 85 1 2
715000 3 2 164 1 2
2537000 4 3 345 1 3
535000 3 2 190 1 2
907000 3 1.75 202 1 3
530000 3 0.75 85 0 1
420000 2 1 76 1 1
720000 4 2.75 313 0 3
5e+05 3 2 160 0 2
715000 4 2.25 229 0 3
819000 3 3.5 198 1 3
935000 2 2.5 165 1 3
415000 3 1.5 140 0 3
860000 3 1.75 203 1 3
503000 3 2.75 143 1 2
610000 4 2 198 1 2
453500 2 1.5 159 0 2
5e+05 3 1.75 151 1 2
285000 3 2 196 0 1
610000 4 3.25 506 0 3
495000 4 2.5 188 1 2
284950 3 1 92 0 2
231500 2 1 111 0 2
662990 3 1.75 115 1 2
2250000 4 3.5 412 1 3
510000 2 1.75 112 0 2
1265000 4 3 291 1 3
520500 6 2.5 175 0 2
830000 5 3 282 0 3
345000 3 1 124 0 2
350000 3 1 115 0 2
620000 5 2.5 236 1 3
544500 4 2.5 207 0 2
469000 3 1 88 1 1
6e+05 5 2.75 270 0 2
397000 3 2 159 0 2
416000 3 2.5 166 0 2
212000 4 2 175 0 1
519000 4 1 152 0 1
480000 3 2.5 219 1 2
460000 4 1.75 160 1 2
824500 4 2.5 242 1 2
685000 5 2.5 177 0 2
411800 4 2.25 203 1 2
850000 5 2.75 271 0 3
330000 4 1 102 0 1
375000 3 1.75 124 1 1
5e+05 3 1.75 142 0 3
460000 4 1.75 174 1 2
315000 3 1.75 176 0 2
930000 4 3 269 0 3
420850 1 1 89 0 1
725000 2 1.75 181 1 2
355000 4 2 164 0 1
307000 3 1.75 176 0 2
760000 3 2.5 184 1 2
507000 3 1.75 199 0 3
835000 5 4 334 1 3
235000 1 1 75 0 2
152900 1 1 84 0 1
440000 2 1.5 94 1 1
940000 4 3 253 1 3
439900 2 2 131 0 3
8e+05 4 2 198 1 2
521000 3 2 174 1 2
643000 3 2.75 189 0 3
399950 3 2 190 1 2
264950 4 1.75 164 0 2
1700000 5 2 232 0 3
783000 4 2.75 193 1 3
1050000 5 2.25 275 1 3
398000 4 1 133 1 2
327000 4 1 151 0 2
782000 4 1.75 139 1 2
453000 4 2.75 214 0 3
210000 3 1.5 108 0 2
390000 3 1.5 115 0 1
403500 4 2.75 223 1 2
250000 4 2 182 0 2
530000 4 2.75 228 0 3
517100 3 1.75 147 0 2
605000 5 2.75 255 1 2
322500 3 1 95 0 2
993000 4 2 265 1 3
665000 4 2.5 193 1 3
898000 5 2.25 251 0 3
583000 4 2.75 204 1 3
250000 2 1 69 0 1
588000 3 2 173 1 2
625000 4 2.75 213 0 2
554000 3 2 170 1 2
234000 3 1 97 0 2
5e+05 4 1.75 213 0 3
366500 4 2.75 192 1 2
719000 5 2 289 1 2
175000 2 1 121 0 1
453000 3 1 112 0 2
603000 3 2.25 158 1 2
985000 3 3.5 242 1 3
740000 5 3 340 0 3
408000 2 1 75 1 1
432500 3 2 160 1 2
7e+05 3 2 193 1 2
260000 3 1.75 147 0 2
575000 3 1.75 147 0 2
155000 2 1 65 0 1
1245000 6 3.25 348 1 3
595000 4 2.25 178 1 2
890000 4 2.75 242 1 3
1620000 4 3 362 1 3
1650000 4 3 362 1 3
603500 6 2.75 247 0 3
415000 3 1 139 1 2
381500 2 1 84 1 2
205500 2 1 84 0 1
525000 3 2 149 0 2
3e+05 3 1.75 139 0 1
530000 3 2.25 156 1 2
590000 5 3.25 373 0 3
456150 3 2.25 163 0 2
161500 3 1 113 0 2
569000 3 3.25 206 1 3
687000 4 2.5 220 1 3
220000 2 1 72 0 1
610000 4 2.75 242 0 3
780000 2 2.5 238 1 3
365000 3 1.75 128 0 2
649000 4 2 208 1 3
722500 5 2.25 344 0 3
555000 3 1.75 190 1 2
579000 3 2.5 185 1 3
645000 3 1.75 217 1 2
678000 3 2.75 257 1 3
268000 5 1.75 161 0 2
545000 2 1.5 151 1 2
711000 4 1.75 184 1 1
1385000 5 3.75 306 1 3
256000 3 2.5 137 0 2
865000 5 3 269 1 3
697000 3 2.25 225 1 2
282000 3 1 155 0 2
302000 2 1 84 0 1
205000 3 1.75 132 0 2
210500 3 1 113 0 2
1250000 5 3.25 294 0 3
685000 5 2.5 248 0 3
430000 3 1.5 157 0 2
760000 3 3.5 218 1 2
420000 3 1.75 160 1 1
765000 4 1 234 1 3
209000 2 1 78 0 1
474000 2 1 98 0 1
580000 3 1.5 173 0 2
510000 2 1 75 1 1
430000 4 2.25 188 0 3
1325000 4 3.25 229 1 3
746000 4 2.75 196 0 3
316000 3 0.75 118 0 2
580000 2 1 236 0 3
427500 3 1 125 1 2
203000 3 1 78 0 1
311000 2 1 80 0 1
740000 2 1.75 193 1 2
329500 3 2.5 197 0 2
850000 3 1.75 228 1 3
415000 2 1 62 1 1
524000 4 2.75 215 0 3
1265000 4 2.25 267 1 3
759000 3 2.75 182 1 3
990000 3 3.25 229 1 3
589000 4 1.75 178 1 2
7e+05 4 2 207 1 2
575000 3 1.75 160 1 2
249000 3 1.75 130 0 1
427500 3 1.75 115 0 2
525000 4 2.75 229 1 2
262000 1 0.75 48 0 1
551000 3 1 147 0 2
965000 4 3.25 465 0 3
1062000 4 2.75 253 1 3
580000 6 2.5 334 0 3
271000 4 1.75 159 0 2
1e+06 5 4.5 197 0 3
1100000 4 3.75 272 1 3
380000 2 1 97 0 2
425000 4 2 129 0 2
660000 2 2.25 237 1 2
885000 3 1.5 204 1 2
289000 3 1 101 0 1
206000 3 1 98 0 1
294000 2 1 76 0 1
569000 5 3 341 0 3
318500 4 2 165 0 2
835000 3 2 146 1 3
1675000 6 2.25 456 1 3
1100000 5 2.75 263 1 2
579000 2 2 164 1 2
405000 2 1 82 1 2
1570000 4 3.75 285 1 3
330000 3 1.5 133 0 2
368000 4 2 294 0 1
515000 3 2 157 1 2
1280600 4 2.5 331 1 3
425000 4 2 141 1 2
735000 4 2.25 211 1 3
629000 3 2 164 1 2
415000 3 2.25 203 0 3
209950 3 1.75 102 0 1
697000 4 3 262 1 2
690000 3 2 150 1 3
328950 4 1.75 237 0 2
195000 3 1 140 0 1
445000 4 2 153 1 2
436000 3 2.25 197 1 2
862000 4 2.25 206 1 3
630000 4 2.5 236 0 2
251000 3 2 111 0 1
390000 3 2 159 0 2
938000 4 2.5 224 0 3
527500 4 2.25 211 0 3
436300 3 2 216 0 2
750000 3 1.5 171 1 2
457000 4 1.75 195 1 3
1240000 4 3 280 1 3
735000 6 2.75 312 0 2
2453500 4 3.5 439 1 3
460000 2 1 95 1 2
778000 3 2.25 210 1 3
320000 3 2 169 0 2
549000 2 1 106 1 2
430000 3 2.5 134 1 2
810000 3 2 222 1 2
689800 3 2.75 222 1 3
851500 3 2 297 1 3
240000 4 1.75 132 0 1
799000 3 1.5 205 1 3
1575000 5 3.75 392 1 4
429592 2 2.75 185 0 1
319990 3 2.25 171 0 2
3e+05 3 1 86 0 1
635000 4 1.75 223 0 3
250000 5 1.75 216 0 2
387000 3 1.75 168 0 3
876650 3 3.25 202 1 3
220000 2 1 78 0 1
965000 4 2.5 229 1 3
1495000 4 3.75 350 1 3
665000 4 3 201 1 2
680000 3 2.25 216 1 2
635000 3 1.75 124 1 2
720000 4 1.75 235 1 3
521450 3 2 120 1 2
1350000 4 2 208 1 3
269900 3 1.5 132 0 2
704300 4 1.5 166 1 2
925000 3 2.5 250 1 2
565000 3 1.5 143 1 2
698000 6 2.5 249 1 2
550000 4 2 209 1 2
292000 3 1.75 101 0 3
339999 4 2 162 1 1
1210000 4 2.25 304 1 3
378950 4 2 169 0 2
489200 3 2.75 172 1 2
1045000 4 2.75 274 1 2
291500 3 1 82 1 1
858000 5 3 336 0 3
1275000 4 2.5 253 0 3
537000 3 2.5 144 1 2
219000 3 1 116 0 1
1075000 4 4.25 325 1 3
1400000 4 2.5 271 1 3
360000 3 1.5 109 0 1
353000 3 1.75 117 0 1
550000 3 1.75 208 0 3
335000 4 2 137 0 1
551000 3 1 87 1 1
2050000 4 3 398 1 4
565000 3 1 150 1 2
249950 3 1.5 101 0 2
379500 2 1 89 0 2
355000 3 1 149 1 1
381000 3 1.75 167 0 1
1050000 3 4 407 0 4
360000 3 2 151 0 2
525000 3 1.75 141 0 3
567035 3 2 192 0 2
4e+05 3 1 125 1 1
555000 4 2 156 1 2
785200 3 2.25 171 1 3
7e+05 3 1.75 152 1 2
315000 2 1 96 1 1
197500 3 1 124 0 2
549900 5 2.75 284 0 3
640000 3 2.5 259 0 3
850000 3 2.5 300 1 3
626500 3 1.75 150 1 2
710000 4 2.75 194 1 2
2485000 4 2.5 320 1 3
289950 3 2.5 164 0 2
725000 6 3 289 1 2
886000 3 2.25 221 1 3
540000 4 1.75 151 1 2
1130000 4 1.75 220 1 3
690000 2 1.75 149 1 2
413500 2 1 72 1 1
6e+05 3 1.75 153 1 2
827500 3 2.5 168 1 2
424000 3 1.75 133 1 2
248500 4 1.75 160 0 2
624000 4 3 143 1 2
675000 3 2 94 1 1
310000 3 1.75 106 1 2
716100 3 1 152 1 2
720000 4 2 164 1 2
616000 3 3.25 198 0 2
354800 3 2 127 0 2
415000 3 1.75 182 0 1
359000 3 2.5 226 0 3
261000 4 1.75 169 0 2
320000 4 2.5 203 0 3
596000 4 2.25 211 0 3
365000 3 2.5 204 0 3
549000 2 1 189 0 2
245000 3 1 94 0 2
650000 2 1 96 1 3
547000 5 2.5 204 1 2
279000 2 1 62 0 1
805000 4 1.75 219 1 2
446000 4 1.75 161 1 2
764000 3 2 132 1 3
702500 3 1.5 219 1 2
370000 4 2.75 204 1 2
1085000 3 1.5 238 1 3
619000 4 2 214 1 3
549000 3 2 124 1 2
8e+05 3 2.5 151 1 3
235000 3 1 98 0 2
515000 3 2.5 134 0 3
1297000 6 2.75 244 1 3
630000 3 1 126 0 1
835000 3 2.25 234 1 3
329000 4 2 172 0 2
678500 3 2.75 112 1 2
895000 4 2.75 245 1 3
438500 3 2 138 1 2
199999 3 1 89 0 1
515000 5 2.5 354 0 3
495000 2 1 155 1 2
150000 2 1 67 0 1
195000 3 1.5 133 0 1
625000 2 1 201 1 3
570000 4 2 166 0 3
220000 3 1 98 0 2
350000 2 1 151 1 1
780000 3 2.75 270 1 2
665000 6 2.75 264 0 3
880000 6 2.5 245 1 3
2850000 4 4 468 1 3
259950 3 1 136 0 1
299950 3 1 147 0 2
785000 4 3 313 0 3
725000 3 1.75 150 1 2
682000 3 1.75 170 1 3
425000 3 1.5 154 0 2
377000 4 1.75 167 0 1
630000 4 2 186 1 2
227000 3 1 119 0 1
450000 3 2.25 154 1 2
269000 4 2.5 148 0 2
575000 4 2.75 150 1 2
318000 3 1 94 0 1
874000 4 2.75 266 1 2
5e+05 3 2 144 0 3
235000 2 1 82 0 2
343000 3 1 130 0 1
560000 5 2.5 224 1 2
535000 4 2.5 204 0 2
1620500 3 2.5 324 1 3
625700 3 2 239 0 2
730001 3 2 171 1 2
385000 4 2.5 297 0 3
258000 3 1.75 97 0 1
652000 3 2 198 1 2
1525000 4 4.25 438 0 4
560000 3 2 121 0 2
775000 4 2.5 190 1 2
2e+05 2 1 65 0 1
652450 3 2.25 207 1 3
395000 4 2.5 198 0 2
400375 4 1.75 157 0 1
535000 2 1 129 0 2
785000 3 2 149 1 2
750000 4 1.75 195 1 2
575000 3 2 167 0 2
554000 2 1 76 1 2
199000 3 1.75 98 0 2
204995 2 1 90 0 1
519000 3 2.75 188 0 2
6e+05 5 3.5 293 1 3
2196000 4 3.25 395 1 3
760000 4 3.5 279 1 2
340000 2 0.75 98 0 1
686000 3 1.5 171 1 3
325000 4 2.75 182 0 2
650000 3 2 171 1 2
589950 5 3 259 0 2
7e+05 3 3 194 1 2
471000 4 1.75 164 0 2
1039000 4 2.25 255 1 3
2400000 4 3.5 544 1 3
421500 3 1.5 92 1 2
335000 3 1 128 1 2
335950 2 1.5 74 0 2
390000 5 2 223 0 2
1450000 3 2.75 366 1 3
625000 3 1.5 121 1 2
313000 2 1 110 0 1
733000 3 1.75 162 1 3
402000 4 1.75 140 0 2
334950 3 1.75 175 0 2
270000 3 2 125 0 1
215000 4 1.75 150 0 2
582500 2 2 143 1 2
549000 2 2 184 1 2
178000 3 1 78 0 1
350000 3 1.5 91 1 2
474905 4 1.5 124 0 1
360000 4 2 161 0 2
941000 4 1.75 216 1 3
3650000 6 4.75 509 1 4
1240000 4 3 309 1 3
539000 3 2.5 202 1 2
610000 4 2.5 214 1 3
1350000 4 3.25 307 0 3
365000 3 1.75 131 1 2
450000 3 1.75 143 1 2
234000 3 1 94 0 2
805000 3 2.75 242 1 3
535000 4 2.5 208 0 3
6e+05 4 1.75 162 0 2
254000 5 2 193 0 2
480000 3 2 136 0 2
814000 4 2.5 264 0 3
735000 4 2.25 224 1 2
176000 2 1 72 0 1
215000 3 1 89 0 2
830000 5 2.25 252 1 3
253905 3 1 87 0 2
750000 3 1.75 208 1 3
286000 4 2.5 169 0 2
319000 3 2 152 0 2
696000 3 2.5 155 0 2
1039000 4 1 317 1 3
295000 3 1 93 0 1
969000 4 2 228 1 3
339888 4 1.75 134 0 1
212000 3 1 97 0 1
599000 3 2.75 182 1 2
457500 3 1.75 171 0 2
428000 4 2.5 181 0 2
255000 3 1.5 103 0 2
426000 3 1 105 1 2
343000 2 1.5 97 1 1
461000 4 1 117 1 2
266000 2 1 65 1 1
350000 3 1.75 187 0 2
9e+05 3 1.5 201 1 3
505000 3 2.5 223 1 2
540000 4 1 126 1 2
208000 2 1 76 0 1
280000 2 1 67 0 1
591000 3 1.75 156 1 2
588000 5 3 203 1 2
1395000 5 3.5 373 1 3
356200 3 2 157 0 2
2175000 4 3 441 1 4
870000 4 2.75 264 1 3
770000 7 2.25 303 0 3
319450 5 2 209 0 2
678000 3 1.75 155 0 3
485000 3 2.5 139 0 2
560000 5 2.5 268 0 3
411500 5 3 225 0 2
1735000 5 3.5 452 1 3
445000 2 1 86 1 1
738000 3 1.75 141 1 2
530000 4 3 208 0 2
3200000 7 4.5 577 1 4
875000 3 2 187 1 2
5e+05 4 4.5 250 1 2
995000 4 3.5 258 0 3
605000 4 2.25 273 1 2
259950 4 2 143 0 2
325000 3 1.5 98 0 2
710000 4 3 255 1 3
7e+05 3 2.5 191 0 3
525000 5 3.25 230 0 3
565000 4 1 202 1 2
340000 4 1.75 167 0 2
375000 4 2 163 0 2
1184000 4 2.5 297 1 3
366000 4 2.75 188 0 2
311000 3 1.75 177 0 2
269000 3 1.75 142 0 2
360000 3 1.75 168 0 2
275500 2 1 67 0 1
485000 3 1 95 1 2
1170000 5 2.75 287 0 3
830200 3 2.5 249 1 3
365000 3 1.75 193 0 2
358000 3 1.5 168 0 2
330000 3 1 97 0 1
410000 4 2 140 1 2
725000 4 1.75 186 1 3
860000 4 3.5 314 1 3
270000 3 1.5 139 1 2
320000 3 2 103 0 2
678940 5 2.25 242 1 2
205000 3 1 120 0 2
715000 4 1.75 318 1 3
449000 3 1.75 118 1 2
419950 3 1.75 164 0 3
339900 3 1 111 0 2
542500 5 3.25 280 0 3
2538000 4 3.5 404 1 3
864000 4 1.75 210 1 3
762000 4 2 198 1 2
189900 2 1 74 0 1
376500 3 2 151 1 2
440150 2 1 103 1 2
174000 2 1 56 0 1
269950 3 1 92 0 2
276000 2 2 137 0 2
575000 3 2 232 0 3
210000 2 1 84 0 1
305000 4 1.75 204 0 1
488000 4 2.25 232 1 2
875000 4 1 155 1 3
1450000 4 3.25 288 1 3
659000 4 2.5 296 1 3
299950 4 1 109 0 1
1900000 4 2.25 281 0 3
785000 3 2 203 1 2
378500 4 2 170 0 2
369950 3 2 141 0 1
441500 2 1.75 94 1 2
585000 4 1.75 211 0 3
980000 4 2 203 1 3
375000 4 2 192 0 2
550000 4 2 192 0 2
631750 3 1.75 219 1 2
258305 2 1.5 70 0 1
440000 3 2.5 170 0 2
450000 4 2 208 0 2
650000 2 1.5 177 1 2
627000 3 2 215 1 2
303000 2 2 90 0 1
315000 4 2 165 0 1
395000 2 2 182 1 2
344950 3 2 137 0 1
1511250 3 2.5 373 0 4
760000 5 1.75 247 1 2
250000 3 2 177 0 2
6e+05 3 2.25 249 0 3
165000 3 1.5 95 0 1
5e+05 3 1.75 143 1 1
442500 4 2 143 1 2
222900 2 1 80 0 1
320000 4 1.75 169 0 2
1320000 3 2.75 249 1 3
675000 4 2.5 190 0 3
170000 2 1 119 0 1
267500 2 1 89 0 1
425000 3 1.75 142 0 3
475000 5 1.75 188 1 2
245000 2 1 62 1 1
456000 3 2 174 1 2
207000 2 1 76 0 1
689000 3 1.75 204 0 3
756000 4 2.25 201 1 2
459000 4 2 219 0 1
1014250 3 1 152 1 1
582000 3 1.75 169 0 3
749950 4 2.75 242 1 3
246000 4 2 130 0 1
345000 2 1.5 167 0 2
238000 3 1 115 0 1
808100 4 3.25 281 1 3
799990 4 3.5 236 1 3
343000 3 1 131 0 2
239950 3 1 106 0 1
338000 4 1.75 142 0 1
880000 4 2 235 1 3
911100 4 3.25 309 0 3
353000 5 2.75 198 0 2
215000 4 1.5 173 0 3
189000 3 1 80 0 1
287000 3 2 121 0 2
365000 4 2.5 189 0 2
795000 3 2 225 1 3
635000 4 2.5 193 1 3
265000 5 4 130 0 2
699950 4 2 192 1 2
601150 2 2 154 1 2
402000 2 1 58 1 1
485000 4 2.25 168 1 2
975000 3 2.5 283 1 3
399950 3 2.5 137 1 2
349900 3 2 225 0 2
7e+05 3 1.75 139 1 2
557800 4 1.75 144 1 2
249950 3 1.75 104 0 2
249000 4 1.75 151 0 2
249000 3 1.75 148 0 1
460000 2 2.5 170 1 2
445000 5 1.75 229 0 2
625000 4 3 218 0 3
760500 3 2 185 1 2
655000 5 3.25 343 0 3
380000 4 1.75 210 0 2
415000 3 1 146 0 3
550000 3 2.5 285 0 3
367500 3 1 118 0 2
1370000 4 2.75 346 1 3
1100000 5 2.75 247 1 3
1010000 2 2 136 1 1
1406890 5 2.25 333 0 3
453500 5 2.5 214 0 2
455000 2 1 96 1 1
240000 4 1.75 175 0 2
698000 4 2.25 204 1 2
650000 3 1.5 128 1 2
525000 5 3 255 1 2
840000 5 3 255 1 2
852600 4 2.5 308 0 3
392800 3 2 100 1 2
1099500 4 2 240 1 3
214000 3 1.5 115 0 1
985000 3 1.75 155 1 3
860000 5 1.75 233 1 3
415000 4 2 150 0 2
535000 3 1.75 188 1 2
354950 4 2.75 235 0 3
706000 3 2.75 177 1 2
255000 2 1 111 0 1
220000 3 1 114 0 2
610000 4 3 228 0 3
675000 4 2.75 248 0 3
1052500 4 2.75 367 0 3
399990 5 2.75 157 0 2
3e+05 4 2.25 162 0 3
545000 3 1.75 158 0 1
825000 4 2.5 238 1 3
1265000 4 3.25 338 1 3
1065000 3 2.5 198 1 3
540000 3 1.75 183 0 3
704000 4 2.75 233 0 3
607000 4 2 138 1 2
1115000 3 2.5 421 0 3
275000 2 1 72 1 1
550000 3 2.75 182 0 3
4e+05 5 2.75 229 0 3
560000 4 1.75 197 0 2
727000 3 2.25 203 1 3
960000 4 2.5 319 1 3
230000 3 1.75 94 0 2
335000 2 1.5 109 0 1
501000 2 1 94 1 2
598000 4 2.5 225 1 2
1095000 4 4 328 1 3
3e+05 2 1 102 0 1
715000 4 2.5 220 0 3
356000 4 2 149 0 2
615000 5 2 198 1 2
275000 4 1.75 186 0 2
550388 3 3 160 0 2
229950 4 2.5 200 0 2
344900 4 2.5 200 0 2
529950 3 1 115 1 2
353900 3 1.75 145 0 1
272000 3 2 111 0 2
258000 4 1 113 0 1
707000 2 2.5 198 1 3
645000 4 2.5 226 0 3
402000 4 2.25 186 1 2
265000 4 1.75 133 0 1
265000 3 1 95 0 2
480000 5 2.75 237 0 3
734000 3 1.75 199 1 3
1300000 3 1 190 1 3
675000 4 1.75 229 1 2
516200 3 2 196 0 1
563250 3 1.75 127 1 2
730000 4 2 219 1 2
920000 4 2.75 268 1 3
430000 2 1 98 1 2
195700 3 1 104 0 2
1695000 3 4 363 1 3
296000 3 1.75 126 0 2
4e+05 2 1 85 0 2
669000 4 2.75 251 0 3
999950 3 2.25 347 1 3
464500 3 1.75 107 0 2
349000 4 1.75 158 0 2
831000 3 2.25 208 1 3
1100000 3 2.75 245 1 3
375000 3 2 143 0 1
202000 3 1 94 0 2
325000 3 1.5 176 0 2
246600 4 1 124 0 2
357000 4 2.5 184 0 2
750000 4 2.75 245 1 2
490000 3 2.25 131 0 1
1730000 4 3.5 412 0 3
885000 3 2 241 1 2
420000 3 2.5 168 0 2
735000 3 2 150 1 3
563000 4 1 131 1 2
1315000 5 4 411 1 3
1200000 4 2.25 216 1 3
540000 3 2.5 220 0 2
640000 3 1.75 217 1 2
475000 4 2.75 184 0 2
893880 6 2.5 262 0 3
453500 3 1.75 144 1 2
616500 3 2 193 1 2
437500 3 2 138 1 1
835000 3 1 284 0 3
1695000 4 2.75 350 1 3
279000 2 1 95 0 2
620000 5 3.25 294 1 2
530000 2 1.75 197 0 1
255000 3 1 106 0 2
2e+05 3 2.25 114 0 2
808000 4 2.25 203 1 3
665000 4 1.75 212 1 2
375000 5 2.5 195 0 3
665000 2 2.5 242 1 3
552625 4 2 238 1 3
390000 3 2 100 1 2
380000 3 1.75 163 0 2
245000 3 2 111 0 1
373000 3 1 120 1 2
670000 3 1.5 113 1 2
270000 3 1 139 0 1
215000 4 2.5 182 0 1
270000 4 1.75 172 1 2
450000 4 1.75 172 1 2
1355000 3 1.5 249 1 3
212644 3 1 146 0 1
510000 3 3 171 0 3
829000 4 3 308 1 3
375000 3 2 117 1 1
495000 3 2 136 0 2
520000 3 1.75 119 1 2
536500 4 1.75 186 1 2
750000 2 1.5 103 1 2
570000 3 1.75 127 1 2
808000 3 2.5 237 1 3
180000 3 1 119 0 1
565000 3 2.5 158 1 2
389000 3 1.5 189 0 2
447000 2 1 79 1 1
695000 3 2 232 1 2
304950 2 1 62 0 1
655000 3 2 169 1 2
577000 5 2.75 180 1 2
1145000 3 2.5 231 1 3
402500 2 1 74 1 1
301350 3 3 173 0 2
435000 2 1 117 1 2
1350000 4 3.25 281 1 3
250000 4 2 202 0 1
420000 4 1.75 124 0 2
645000 4 2.25 192 1 3
253000 3 2 120 0 2
1060000 4 2.5 209 1 3
562000 3 1.75 175 1 2
220000 4 1.5 110 0 2
995000 3 2.25 297 1 3
435000 3 1 104 0 2
295832 5 1 131 0 2
3e+05 4 2 147 0 2
715000 4 2.25 191 1 3
335000 3 1.5 177 0 2
705000 4 2 190 1 2
456700 3 1.75 262 0 2
251000 4 2 153 0 2
425000 4 1 167 0 2
449900 3 1.75 164 0 2
265000 3 1 167 0 2
589000 4 2.5 244 0 3
1308000 5 2.5 297 1 3
495000 4 2.5 223 0 3
750000 4 2.75 215 0 3
350000 4 1.75 225 0 2
809950 4 2 207 1 3
318000 3 2.25 157 0 2
945000 4 2.25 225 0 3
590000 3 2.5 246 0 3
360000 2 0.75 79 0 1
525888 5 1.75 237 0 2
711000 4 2.5 195 1 3
554729 4 2.5 188 1 3
868000 4 2.5 188 1 3
1250000 4 2.5 299 1 3
554950 4 1.75 162 1 2
1378600 5 3.25 321 1 3
665000 3 2.5 291 0 3
560000 4 2.5 230 0 2
665000 4 2.25 217 0 3
1e+06 4 1.75 165 1 3
845000 4 3 222 1 3
299000 2 1 66 0 1
420000 3 1 98 0 2
774000 4 2.75 187 1 3
251750 3 2 123 0 2
625000 3 2.5 186 1 3
392500 4 2.75 223 0 2
422250 3 1.75 153 0 3
285000 3 1.75 95 0 1
485000 4 2.5 225 1 2
7e+05 3 2.75 232 1 2
577000 3 1.5 145 0 2
435000 4 1.75 234 0 2
393000 2 1 95 0 1
375000 3 2 135 0 2
246900 3 1.5 127 0 2
215000 3 1 111 0 2
3e+06 4 4.25 451 1 3
865000 6 2.75 325 1 3
785000 3 1.75 155 1 3
499950 3 1.75 191 1 2
619000 3 2 185 1 3
5e+05 4 1.75 190 0 2
312000 3 2.25 143 1 2
539000 3 2.25 143 1 2
492000 4 2.5 307 0 2
1168000 5 2.75 270 1 3
